a_hood,b_hood,a_scale,b_scale
Coenhaven/Mercuriushaven,Houthavens West,1,1
Coenhaven/Mercuriushaven,Cornelis Douwesterrein,1,1
Coenhaven/Mercuriushaven,Alfa-driehoek,1,1
Columbusplein e.o.,Van Brakelkwartier,2,2
Columbusplein e.o.,Postjeskade e.o.,2,2
Columbusplein e.o.,Paramariboplein e.o.,2,2
Columbusplein e.o.,Orteliusbuurt Zuid,2,2
Columbusplein e.o.,Orteliusbuurt Midden,2,2
Columbusplein e.o.,Balboaplein e.o.,2,2
Concertgebouwbuurt,Vondelpark Oost,2,2
Concertgebouwbuurt,Museumplein,2,2
Concertgebouwbuurt,Johannnes Vermeerbuurt,2,2
Concertgebouwbuurt,Hondecoeterbuurt,2,2
Cornelis Douwesterrein,Tuindorp Oostzaan West,1,1
Cornelis Douwesterrein,Tuindorp Oostzaan Oost,1,1
Cornelis Douwesterrein,Terrasdorp,1,1
Cornelis Douwesterrein,Petroleumhaven,1,1
Cornelis Douwesterrein,Papaverweg e.o.,1,1
Cornelis Douwesterrein,Oostzanerdijk,1,1
Cornelis Douwesterrein,Noorder IJplas,1,1
Cornelis Douwesterrein,Houthavens West,1,1
Cornelis Douwesterrein,Houthavens Oost,1,1
Cornelis Douwesterrein,Coenhaven/Mercuriushaven,1,1
Cornelis Douwesterrein,Buiksloterham,1,1
Cornelis Schuytbuurt,Vondelpark West,1,1
Cornelis Schuytbuurt,Valeriusbuurt Oost,1,1
Cornelis Schuytbuurt,Banpleinbuurt,1,1
Cornelis Troostbuurt,Wielingenbuurt,2,2
Cornelis Troostbuurt,Scheldebuurt West,2,2
Cornelis Troostbuurt,Lizzy Ansinghbuurt,2,2
Cornelis Troostbuurt,Hercules Seghersbuurt,2,2
Cornelis Troostbuurt,Harmoniehofbuurt,2,2
Cornelis Troostbuurt,Duivelseiland,2,2
Cornelis Troostbuurt,Diepenbrockbuurt,2,2
Cremerbuurt Oost,Borgerbuurt,2,2
Cremerbuurt West,Vondelparkbuurt Midden,1,1
Cremerbuurt West,Lootsbuurt,1,1
Czaar Peterbuurt,Rietlanden,2,2
Czaar Peterbuurt,Kazernebuurt,2,2
Czaar Peterbuurt,Entrepot-Noordwest,2,2
Da Costabuurt Zuid,WG terrein,1,1
Da Costabuurt Zuid,Helmersbuurt Oost,1,1
Da Costabuurt Zuid,Bellamybuurt Zuid,1,1
Dapperbuurt Noord,Plantage,2,2
Dapperbuurt Noord,Kazernebuurt,2,2
Dapperbuurt Noord,Dapperbuurt Zuid,2,2
Dapperbuurt Zuid,Dapperbuurt Noord,2,2
D-buurt,Venserpolder West,1,1
D-buurt,Venserpolder Oost,1,1
D-buurt,G-buurt West,1,1
D-buurt,F-buurt,1,1
D-buurt,Amsterdamse Poort,1,1
De Aker Oost,Middelveldsche Akerpolder,1,1
De Aker Oost,De Punt,1,1
De Aker Oost,De Aker West,1,1
De Aker West,Middelveldsche Akerpolder,1,1
De Aker West,De Aker Oost,1,1
De Bongerd,Terrasdorp,1,1
De Bongerd,Papaverweg e.o.,1,1
De Bongerd,Kadoelen,1,1
De Bongerd,Buiksloterbreek,1,1
De Bongerd,Banne Zuidwest,1,1
De Costabuurt Noord,Marnixbuurt Zuid,2,2
De Costabuurt Noord,Borgerbuurt,2,2
De Eenhoorn,Van der Kunbuurt,2,2
De Eenhoorn,Julianapark,2,2
De Eenhoorn,Frankendael,2,2
De Eenhoorn,Don Bosco,2,2
De Heining,Sloterdijk III West,1,1
De Heining,Bretten West,1,1
De Heining,Amerikahaven,1,1
De Heining,Afrikahaven,1,1
De Klenckebuurt,Vivaldi,1,1
De Klenckebuurt,Gelderlandpleinbuurt,1,1
De Klenckebuurt,Buitenveldert Oost Midden,1,1
De Klenckebuurt,Amstelpark,1,1
Delflandpleinbuurt Oost,Westlandgrachtbuurt,1,1
Delflandpleinbuurt Oost,Riekerhaven,1,1
Delflandpleinbuurt Oost,Koningin Wilhelminaplein,1,1
Delflandpleinbuurt Oost,Bedrijventerrein Schinkel,1,1
Delflandpleinbuurt Oost,Andreasterrein,1,1
Delflandpleinbuurt West,Staalmanpleinbuurt,2,2
Den Texbuurt,Leidsebuurt Zuidoost,3,3
De Omval,Weespertrekvaart,1,1
De Punt,Middelveldsche Akerpolder,1,1
De Punt,De Aker Oost,1,1
De Punt,Bedrijvencentrum Osdorp,1,1
De Weeren,Zwarte Gouw,1,1
De Weeren,Zunderdorp,1,1
De Weeren,Schellingwoude Oost,1,1
De Weeren,Schellingwoude Noord,1,1
De Weeren,Markengouw Zuid,1,1
De Weeren,Markengouw Midden,1,1
De Weeren,Buikslotermeer Noord,1,1
De Wester Quartier,Van Brakelkwartier,2,2
De Wetbuurt,Weespertrekvaart,1,1
De Wetbuurt,Nieuwe Oosterbegraafplaats,1,1
De Wetbuurt,Drieburg,1,1
De Wittenbuurt Noord,Staatsliedenbuurt Noordoost,3,3
Diamantbuurt,Willibrordusbuurt,1,1
Diamantbuurt,Weesperzijde Midden/Zuid,1,1
Diamantbuurt,Van der Helstpleinbuurt,1,1
Diamantbuurt,IJsselbuurt Oost,1,1
Diamantbuurt,Burgemeester Tellegenbuurt Oost,1,1
Diepenbrockbuurt,Wielingenbuurt,2,2
Diepenbrockbuurt,Prinses Irenebuurt,2,2
Diepenbrockbuurt,Minervabuurt Zuid,2,2
Diepenbrockbuurt,Harmoniehofbuurt,2,2
Diepenbrockbuurt,Cornelis Troostbuurt,2,2
Diepenbrockbuurt,Beethovenbuurt,2,2
Don Bosco,Linnaeusparkbuurt,2,2
Don Bosco,Frankendael,2,2
Don Bosco,De Eenhoorn,2,2
Dorp Driemond,Landelijk gebied Driemond,1,1
Dorp Driemond,Gaasperplas,1,1
Dorp Sloten,Zuidwestkwadrant Osdorp Zuid,2,2
Drieburg,Weespertrekvaart,1,1
Drieburg,Nieuwe Oosterbegraafplaats,1,1
Drieburg,De Wetbuurt,1,1
Drieburg,Betondorp,1,1
Duivelseiland,Johannnes Vermeerbuurt,2,2
Duivelseiland,Hondecoeterbuurt,2,2
Duivelseiland,Hercules Seghersbuurt,2,2
Duivelseiland,Harmoniehofbuurt,2,2
Duivelseiland,Cornelis Troostbuurt,2,2
Durgerdam,Zwarte Gouw,1,1
Durgerdam,Zeeburgereiland Noordoost,1,1
Durgerdam,Steigereiland Noord,1,1
Durgerdam,Schellingwoude Oost,1,1
Durgerdam,Ransdorp,1,1
Durgerdam,Holysloot,1,1
Durgerdam,Haveneiland Noordwest,1,1
Eendrachtspark,Buurt 9,1,1
Eendrachtspark,Buurt 8,1,1
Eendrachtspark,Buurt 4 Oost,1,1
Eendrachtspark,Bretten Oost,1,1
Elandsgrachtbuurt,Leliegracht e.o.,1,1
Elandsgrachtbuurt,Felix Meritisbuurt,1,1
Elzenhagen,Rode Kruisbuurt,2,2
Elzenhagen,Loenermark,2,2
Emanuel van Meterenbuurt,Osdorpplein e.o.,1,1
Emanuel van Meterenbuurt,Oostoever Sloterplas,1,1
Emanuel van Meterenbuurt,Louis Chrispijnbuurt,1,1
Emanuel van Meterenbuurt,Jacques Veldmanbuurt,1,1
Emanuel van Meterenbuurt,Jacob Geelbuurt,1,1
Emanuel van Meterenbuurt,Calandlaan/Lelylaan,1,1
Entrepot-Noordwest,Rietlanden,2,2
Entrepot-Noordwest,Czaar Peterbuurt,2,2
Erasmusparkbuurt Oost,Pieter van der Doesbuurt,2,2
Erasmusparkbuurt Oost,Landlust Zuid,2,2
Erasmusparkbuurt Oost,Landlust,2,2
Erasmusparkbuurt Oost,Bosleeuw,2,2
Erasmusparkbuurt West,John Franklinbuurt,1,1
Fannius Scholtenbuurt,Westerstaatsman,2,2
Fannius Scholtenbuurt,Westergasfabriek,2,2
Fannius Scholtenbuurt,Buyskade e.o.,2,2
F-buurt,Vogeltjeswei,1,1
F-buurt,G-buurt West,1,1
F-buurt,D-buurt,1,1
F-buurt,Amsterdamse Poort,1,1
Felix Meritisbuurt,Leliegracht e.o.,1,1
Felix Meritisbuurt,Leidsegracht Noord,1,1
